Tên sản phẩm	Đơn vị cung cấp	Lĩnh vực	Danh mục sản phẩm	Trạng thái	Giá sản phẩm	Giá cũ	Mô tả ngắn	Sản phẩm nôi bật	Thông số kĩ thuật	Mô tả chi tiết	Hình ảnh sản phẩm									
Ghế tựa	TTF		Nội thất					1	{"Chất liệu: "Gỗ cao su", "Quy cách (mm)": "600 x 560 x 745", "Màu sắc": "Nâu đen" }		https://admin.truongthanh.com/Upload/Product/2020-04-14T03-55-48zserfjoq_2-.jpg	https://admin.truongthanh.com/Upload/Product/2020-04-14T03-56-12zserfjoq-.jpg	https://admin.truongthanh.com/Upload/Product/2020-04-14T03-56-15zserfjoq_3-.jpg							
TTF tủ kệ	TTF		Nội thất						"Quy cách (mm): 1370 x 430 x 865
Nguyên liệu: gỗ Cao su"		https://admin.truongthanh.com/Upload/Product/2020-04-10T08-37-47530004002_cvfzr4079-ctvi-ca111azdn-2b-.jpg	https://admin.truongthanh.com/Upload/Product/2020-04-13T01-03-18530004002_cvfzr4079-ctvi-ca111azdn-5-.jpg	https://admin.truongthanh.com/Upload/Product/2020-04-11T00-54-33530004002_cvfzr4079-ctvi-ca111azdn-2-.jpg							
TTF ghế	TTF		Nội thất						"Quy cách (mm): 600 x 560 x 745
Nguyên liệu: gỗ Cao su"		https://admin.truongthanh.com/Upload/Product/2020-04-14T05-45-27y1clwrbk_2-.jpg	https://admin.truongthanh.com/Upload/Product/2020-04-14T05-45-24y1clwrbk-.jpg	https://admin.truongthanh.com/Upload/Product/2020-04-14T05-45-31y1clwrbk_3-.jpg							
TTF tủ kệ	TTF		Nội thất								https://admin.truongthanh.com/Upload/Product/2020-04-11T00-56-19530004233_ctvi-ca047azbn-3a-.jpg	https://admin.truongthanh.com/Upload/Product/2020-04-11T00-56-32530004233_ctvi-ca047azbn-3c-.jpg	https://admin.truongthanh.com/Upload/Product/2020-04-11T00-56-26530004233_ctvi-ca047azbn-3b-.jpg							
Bàn Sofa Canyon	TTF		Nội thất						"Quy cách (mm): 1200 x 700 x 465
Nguyên liệu: gỗ Acacia
"		https://admin.truongthanh.com/Upload/Product/2020-04-21T22-54-39canyon-2-.jpg									
Ghế 3 chỗ Canyon	TTF		Nội thất						"Quy cách (mm): 1920 x 925 x 715
Nguyên liệu: gỗ Acacia + nệm"		https://admin.truongthanh.com/Upload/Product/2020-04-21T22-54-39canyon-2-.jpg									
Ghế đơn Canyon	TTF		Nội thất						"Quy cách (mm): 720 x 925 x 715
Nguyên liệu: gỗ Acacia + nệm"		https://admin.truongthanh.com/Upload/Product/2020-04-21T22-54-39canyon-2-.jpg									
SOFA DA THẬT PLUMNOLL FM48	KENLI		Nội thất				Được kiến tạo trên hệ khung modul linh hoạt, mỗi chiếc đệm bồng bềnh tựa như một ngọn đô dịu êm. Khi chúng tựa vào nhau và xếp chồng lớp lên nhau, những đường cong mềm mại hiện ra như những nét họa của thiên nhiên, dệt nên một miền mộng mơ bất tận				https://noithatkenli.vn/wp-content/uploads/2026/06/sofa-plumnoll-fm48.jpg	https://noithatkenli.vn/wp-content/uploads/2026/06/sofa-plumnoll-fm48-5.jpg	https://noithatkenli.vn/wp-content/uploads/2026/06/sofa-plumnoll-fm48-2.jpg							
BÀN TRÀ COPER	KENLI		Nội thất				Chất liệu đá nhân tạo gốc thạch anh châu Âu tạo lên nét phóng khoáng, tinh tế tôn lên vị thế của gia chủ. Lớp gỗ Veneer óc chó cao cấp bao phủ bên ngoài như một "hàng rào bảo vệ" với khả năng chịu độ ẩm cao, ổn định và bền bỉ trước các tác động của ngoại cảnh. Tổng thể của COPER mang đến sự sang trọng ngay tại trung tâm phòng khách hiện đại.				https://noithatkenli.vn/wp-content/uploads/2024/06/ban-tra-ce2-1014v5-cover.jpg	https://noithatkenli.vn/wp-content/uploads/2024/06/ban-tra-ce2-1014v5-2-1.jpg								
GIƯỜNG BỌC DA ATLANTIC 31TI	KENLI		Nội thất				Lấy cảm hứng từ Đại Tây Dương rộng lớn - nơi lục địa Atlantis đại diện cho nền văn minh thất lạc thời tiền sử, giường Atlantic giữ cho mỗi gia chủ một "kho báu riêng" trong ngăn chứa bí ẩn.				https://noithatkenli.vn/wp-content/uploads/2022/09/cama_de_cuero_optimized.jpg	https://noithatkenli.vn/wp-content/uploads/2022/09/2.jpg	https://noithatkenli.vn/wp-content/uploads/2022/09/3-1.jpg							
BÀN ĂN CEDAR	KENLI		Nội thất				Các đường nét uyển chuyển, mảnh mai của khung chân bàn ôm chặt mặt đá thạch anh cao cấp, tạo nên biểu tượng về sự kết nối trong không gian.				https://noithatkenli.vn/wp-content/uploads/2024/07/ban-an-cedar-cover.jpg	https://noithatkenli.vn/wp-content/uploads/2024/10/ban-an-cedar-4.jpg	https://noithatkenli.vn/wp-content/uploads/2024/10/ban-an-cedar-5.jpg							
